python ./google_speech_streaming_v.2.1.0.py 
--------------------------------------------------------- NEW GENERATOR STREAM
***************************************************
Word: I'm, start_time: 0.0, end_time: 0.2
Word: David, start_time: 0.2, end_time: 0.5
Word: for, start_time: 0.5, end_time: 0.5
Word: the, start_time: 0.5, end_time: 0.6
Word: rest, start_time: 0.6, end_time: 0.9
Word: of, start_time: 0.9, end_time: 0.9
Word: the, start_time: 0.9, end_time: 1.0
Word: night., start_time: 1.0, end_time: 1.4
Word: Alright,, start_time: 1.5, end_time: 1.7
Word: so, start_time: 1.7, end_time: 1.8
Word: here, start_time: 1.8, end_time: 2.0
Word: we, start_time: 2.0, end_time: 2.1
Word: go., start_time: 2.1, end_time: 2.6
Word: We, start_time: 2.6, end_time: 2.7
Word: got, start_time: 2.7, end_time: 2.9
Word: the, start_time: 2.9, end_time: 3.0
Word: forecast, start_time: 3.0, end_time: 3.5
Word: coming, start_time: 3.5, end_time: 3.7
Word: in, start_time: 3.7, end_time: 3.8
Word: for, start_time: 3.8, end_time: 4.0
Word: later, start_time: 4.0, end_time: 4.4
Word: on, start_time: 4.4, end_time: 4.5
Word: this, start_time: 4.5, end_time: 4.8
Word: week, start_time: 4.8, end_time: 5.2
Word: and, start_time: 5.3, end_time: 5.4
Word: it, start_time: 5.4, end_time: 5.5
Word: is, start_time: 5.5, end_time: 5.6
Word: going, start_time: 5.6, end_time: 5.7
Word: to, start_time: 5.7, end_time: 5.8
Word: be, start_time: 5.8, end_time: 5.9
Word: really, start_time: 5.9, end_time: 6.3
Word: busy., start_time: 6.3, end_time: 6.7
Word: Look, start_time: 6.7, end_time: 6.9
Word: at, start_time: 6.9, end_time: 6.9
Word: that, start_time: 6.9, end_time: 7.1
Word: big, start_time: 7.1, end_time: 7.3
Word: red, start_time: 7.3, end_time: 7.5
Word: L., start_time: 7.5, end_time: 7.8
Word: That's, start_time: 7.9, end_time: 8.2
Word: the, start_time: 8.2, end_time: 8.3
Word: next, start_time: 8.3, end_time: 8.6
Word: big, start_time: 8.6, end_time: 8.8
Word: storm, start_time: 8.8, end_time: 9.1
Word: coming, start_time: 9.1, end_time: 9.3
Word: across, start_time: 9.3, end_time: 9.6
Word: the, start_time: 9.6, end_time: 9.8
Word: Four, start_time: 9.8, end_time: 10.0
Word: Corners., start_time: 10.0, end_time: 10.6
Word: It's, start_time: 10.7, end_time: 10.8
Word: going, start_time: 10.8, end_time: 11.0
Word: to, start_time: 11.0, end_time: 11.0
Word: mean, start_time: 11.0, end_time: 11.1
Word: a, start_time: 11.1, end_time: 11.2
Word: lot, start_time: 11.2, end_time: 11.4
Word: of, start_time: 11.4, end_time: 11.5
Word: snow, start_time: 11.5, end_time: 11.8
Word: here, start_time: 11.8, end_time: 12.4
Word: at, start_time: 12.5, end_time: 12.6
Word: across, start_time: 12.6, end_time: 12.9
Word: the, start_time: 12.9, end_time: 13.0
Word: Front, start_time: 13.0, end_time: 13.3
Word: Range, start_time: 13.3, end_time: 13.6
Word: of, start_time: 13.6, end_time: 13.7
Word: the, start_time: 13.7, end_time: 13.7
Word: Colorado, start_time: 13.7, end_time: 14.2
Word: Rockies., start_time: 14.2, end_time: 14.9
Word: It's, start_time: 15.0, end_time: 15.2
Word: also, start_time: 15.2, end_time: 15.6
Word: going, start_time: 15.6, end_time: 15.9
Word: to, start_time: 15.9, end_time: 16.0
Word: mean, start_time: 16.0, end_time: 16.5
Word: severe, start_time: 16.5, end_time: 17.0
Word: weather, start_time: 17.0, end_time: 17.3
Word: threats, start_time: 17.3, end_time: 17.7
Word: to, start_time: 17.7, end_time: 17.9
Word: for, start_time: 17.9, end_time: 18.1
Word: several, start_time: 18.1, end_time: 18.7
Word: days, start_time: 18.7, end_time: 19.1
Word: in, start_time: 19.1, end_time: 19.2
Word: a, start_time: 19.2, end_time: 19.3
Word: row., start_time: 19.3, end_time: 19.8
Word: So, start_time: 19.9, end_time: 20.1
Word: this, start_time: 20.1, end_time: 20.3
Word: is, start_time: 20.3, end_time: 20.5
Word: kind, start_time: 20.5, end_time: 20.7
Word: of, start_time: 20.7, end_time: 20.8
Word: the, start_time: 20.8, end_time: 21.0
Word: bullet, start_time: 21.1, end_time: 21.5
Word: points, start_time: 21.5, end_time: 21.8
Word: here, start_time: 21.8, end_time: 22.2
Word: active, start_time: 22.2, end_time: 22.6
Word: pattern, start_time: 22.6, end_time: 23.2
Word: is, start_time: 23.2, end_time: 23.4
Word: coming, start_time: 23.4, end_time: 23.7
Word: back, start_time: 23.7, end_time: 24.0
Word: in, start_time: 24.0, end_time: 24.1
Word: a, start_time: 24.1, end_time: 24.1
Word: play., start_time: 24.1, end_time: 24.6
Word: It'll, start_time: 24.7, end_time: 24.8
Word: be, start_time: 24.8, end_time: 25.0
Word: thunderstorms, start_time: 25.0, end_time: 25.7
Word: Heavy, start_time: 25.7, end_time: 26.0
Word: Rain, start_time: 26.0, end_time: 26.5
Word: possibly, start_time: 26.6, end_time: 27.1
Word: severe, start_time: 27.1, end_time: 27.5
Word: storms, start_time: 27.5, end_time: 28.0
Word: in, start_time: 28.0, end_time: 28.1
Word: the, start_time: 28.1, end_time: 28.1
Word: plains, start_time: 28.1, end_time: 28.6
Word: the, start_time: 28.6, end_time: 28.7
Word: South, start_time: 28.7, end_time: 29.3
Word: and, start_time: 29.3, end_time: 29.4
Word: eventually, start_time: 29.4, end_time: 29.8
result_start_time=0.0
Transcript: I'm David for the rest of the night. Alright, so here we go. We got the forecast coming in for later on this week and it is going to be really busy. Look at that big red L. That's the next big storm coming across the Four Corners. It's going to mean a lot of snow here at across the Front Range of the Colorado Rockies. It's also going to mean severe weather threats to for several days in a row. So this is kind of the bullet points here active pattern is coming back in a play. It'll be thunderstorms Heavy Rain possibly severe storms in the plains the South and eventually
***************************************************
result_end_time=29970.0
new_final_result_end_time=29970.0
***************************************************
Word: that, start_time: 30.0, end_time: 30.1
Word: across, start_time: 30.1, end_time: 30.4
Word: the, start_time: 30.4, end_time: 30.5
Word: Ohio, start_time: 30.5, end_time: 30.9
Word: Valley, start_time: 30.9, end_time: 31.4
Word: and, start_time: 31.4, end_time: 31.6
Word: the, start_time: 31.6, end_time: 31.7
Word: northern, start_time: 31.7, end_time: 32.2
Word: part, start_time: 32.2, end_time: 32.4
Word: of, start_time: 32.4, end_time: 32.5
Word: it, start_time: 32.5, end_time: 32.6
Word: with, start_time: 32.6, end_time: 32.7
Word: air, start_time: 32.7, end_time: 32.9
Word: is, start_time: 32.9, end_time: 33.0
Word: cold, start_time: 33.0, end_time: 33.3
Word: enough., start_time: 33.3, end_time: 33.8
Word: It's, start_time: 33.8, end_time: 33.9
Word: going, start_time: 33.9, end_time: 34.0
Word: to, start_time: 34.0, end_time: 34.1
Word: be, start_time: 34.1, end_time: 34.2
Word: snow, start_time: 34.2, end_time: 34.6
Word: and, start_time: 34.6, end_time: 34.8
Word: wintry, start_time: 34.8, end_time: 35.2
Word: weather, start_time: 35.2, end_time: 35.7
Word: that, start_time: 35.7, end_time: 35.9
Word: includes, start_time: 35.9, end_time: 36.3
Word: the, start_time: 36.3, end_time: 36.4
Word: Rockies, start_time: 36.4, end_time: 36.9
Word: and, start_time: 36.9, end_time: 37.0
Word: the, start_time: 37.0, end_time: 37.2
Word: Upper, start_time: 37.2, end_time: 37.5
Word: Midwest., start_time: 37.5, end_time: 38.2
Word: The, start_time: 38.2, end_time: 38.4
Word: Upper, start_time: 38.4, end_time: 38.6
Word: Midwest, start_time: 38.6, end_time: 39.0
Word: is, start_time: 39.0, end_time: 39.1
Word: already, start_time: 39.1, end_time: 39.4
Word: seen, start_time: 39.4, end_time: 40.0
Word: a, start_time: 40.1, end_time: 40.1
Word: lot, start_time: 40.1, end_time: 40.4
Word: of, start_time: 40.4, end_time: 40.5
Word: snow, start_time: 40.5, end_time: 40.8
Word: already., start_time: 40.8, end_time: 41.4
Word: This, start_time: 41.5, end_time: 41.7
Word: is, start_time: 41.7, end_time: 41.9
Word: the, start_time: 41.9, end_time: 42.0
Word: severe, start_time: 42.0, end_time: 42.4
Word: weather, start_time: 42.4, end_time: 42.7
Word: threat, start_time: 42.7, end_time: 43.3
Word: and, start_time: 43.3, end_time: 43.4
Word: it, start_time: 43.4, end_time: 43.5
Word: really, start_time: 43.5, end_time: 43.8
Word: starts, start_time: 43.8, end_time: 44.1
Word: kicking, start_time: 44.1, end_time: 44.4
Word: back, start_time: 44.4, end_time: 44.7
Word: into, start_time: 44.7, end_time: 44.9
Word: this, start_time: 44.9, end_time: 45.0
Word: part, start_time: 45.0, end_time: 45.2
Word: of, start_time: 45.2, end_time: 45.3
Word: the, start_time: 45.3, end_time: 45.3
Word: country, start_time: 45.3, end_time: 45.9
Word: on, start_time: 46.0, end_time: 46.2
Word: Friday, start_time: 46.2, end_time: 46.7
Word: from, start_time: 46.7, end_time: 46.9
Word: Wichita, start_time: 46.9, end_time: 47.4
Word: Tulsa,, start_time: 47.4, end_time: 48.0
Word: Oklahoma, start_time: 48.1, end_time: 48.6
Word: City, start_time: 48.6, end_time: 48.9
Word: across, start_time: 48.9, end_time: 49.3
Word: the, start_time: 49.3, end_time: 49.4
Word: Red, start_time: 49.4, end_time: 49.6
Word: River, start_time: 49.6, end_time: 50.0
Word: and, start_time: 50.1, end_time: 50.2
Word: Through, start_time: 50.2, end_time: 50.4
Word: Wichita, start_time: 50.4, end_time: 50.9
Word: Falls, start_time: 50.9, end_time: 51.3
Word: Amarillo, start_time: 51.3, end_time: 52.1
Word: and, start_time: 52.2, end_time: 52.4
Word: down, start_time: 52.4, end_time: 52.6
Word: and, start_time: 52.6, end_time: 52.7
Word: through, start_time: 52.7, end_time: 53.0
Word: Lubbock., start_time: 53.0, end_time: 53.6
Word: It's, start_time: 53.6, end_time: 53.8
